id,objectId,Make,Year,Model,Category1,Category2,Category3
182,s7EVRxkGTP,Alfa Romeo,2018,4C,Coupe,,
184,BsrsAho8K3,Alfa Romeo,2019,4C Spider,Convertible,,
187,dhoJGq6zhE,Alfa Romeo,2021,Giulia,Sedan,,
188,Cyh9SkDKYp,Alfa Romeo,2021,Stelvio,SUV,,
221,9qMKkVqVKf,Aston Martin,2015,DB9,Coupe, Convertible,
225,mshL06PuU6,Aston Martin,2016,DB9 GT,Coupe, Convertible,
229,Gqxpf5rV52,Aston Martin,2017,Rapide S,Sedan,,
230,E66XUXqHyy,Aston Martin,2017,Vanquish,Coupe, Convertible,
232,uEQDjTKEOq,Aston Martin,2017,Vantage,Convertible, Coupe,
233,rwdOGxYYPw,Aston Martin,2018,Vanquish S,Convertible, Coupe,
234,Y2HL8TewJ9,Aston Martin,2018,DB11,Coupe,,
445,j2AfYdvgb6,Audi,2016,allroad,Wagon,,
468,YRT55F1mkg,Audi,2017,A5 Sport,Convertible, Coupe,
486,yxjMgpPVad,Audi,2018,A3 Sportback e-tron,Wagon,,
496,z61GF2cEzY,Audi,2018,S7,Sedan,,
498,0sEUfGvYoW,Audi,2018,S8,Sedan,,
499,KKkMJW7Zvl,Audi,2018,RS 7,Sedan,,
503,hRySxJexbG,Audi,2019,A6,Sedan,,
505,IQ4VfhGUnv,Audi,2019,A4,Sedan,,
506,LAsic8cF0o,Audi,2019,Q7,SUV,,
508,KegjzAaXJ2,Audi,2019,RS 5,Sedan, Coupe,
510,qaKbuo5AT9,Audi,2019,A8,Sedan,,
511,sLLtnh5CNL,Audi,2019,A3,Convertible, Sedan,
513,hxBd1z7ewE,Audi,2019,A4 allroad,Wagon,,
514,WHqkPTraez,Audi,2019,e-tron,SUV,,
516,FBvxwCM8vu,Audi,2019,RS 3,Sedan,,
517,juIznkRAZE,Audi,2019,A5,Coupe, Sedan, Convertible
518,8ZTMjzHn9X,Audi,2019,S3,Sedan,,
519,pe7eJ4gnen,Audi,2019,S4,Sedan,,
521,UrwYndiCmO,Audi,2019,TT,Coupe,,
523,2lYY81jKzR,Audi,2020,SQ5,SUV,,
524,qGDd5H3yYd,Audi,2020,R8,Coupe, Convertible,
527,0E4EBKSIGM,Audi,2021,A6 allroad,Wagon,,
528,9OARa8RcXA,Audi,2021,S5,Convertible,Sedan,Coupe
529,DtxIdL3qeC,Audi,2021,A7,Sedan,,
530,PLV0y8DYLI,Audi,2021,S6,Sedan,,
531,uTmkixOBjE,Audi,2021,Q3,SUV,,
532,YHtHDZRwmI,Audi,2021,Q5,SUV,,
533,Koshnnymua,Audi,2021,Q8,SUV,,
570,GES6H2ShQl,Bentley,2018,Bentayga,SUV,,
571,ey8tV6HOnP,Bentley,2018,Flying Spur,Sedan,,
572,MDE6nmecu4,Bentley,2018,Continental,Convertible,,
573,564HCAqc8b,Bentley,2018,Mulsanne,Sedan,,
848,WHCTL8PKc2,BMW,2018,M3,Sedan,,
852,7lhDxlD64f,BMW,2018,X5 M,SUV,,
861,Tkm6RAiXMk,BMW,2019,4 Series,Convertible, Sedan, Coupe
862,IM66EEMjxe,BMW,2019,2 Series,Coupe, Convertible,
864,KhES0MZcmQ,BMW,2019,5 Series,Sedan,,
865,cR3800xX9I,BMW,2019,M5,Sedan,,
866,vAAn0VApSF,BMW,2019,i8,Convertible, Coupe,
867,E5Nznq1T2p,BMW,2019,8 Series,Coupe, Convertible,
868,aKCqI0lYGI,BMW,2019,M6,Coupe,,
869,VIhUyOqv71,BMW,2019,i3,Hatchback,,
872,tHGwhMRQQb,BMW,2019,6 Series,Sedan,,
873,iFCVGMra0O,BMW,2019,M4,Coupe, Convertible,
874,b1gzw7oX90,BMW,2019,X6 M,SUV,,
875,rJUe9JJjYP,BMW,2019,X2,SUV,,
877,VMdmpIMkre,BMW,2019,X6,SUV,,
878,5SQO904EKs,BMW,2019,X4,SUV,,
880,KRZ7KM1gCr,BMW,2019,M2,Coupe,,
882,red9UTu8fA,BMW,2019,Z4,Convertible,,
885,FThs77Cddn,BMW,2020,7 Series,Sedan,,
888,D4KNF0elF7,BMW,2021,X7,SUV,,
889,EEdcM1ADEU,BMW,2021,X5,SUV,,
890,62Y2z6kskz,BMW,2021,X1,SUV,,
891,3OLMCN0NIV,BMW,2021,3 Series,Sedan,,
892,siG6MA0vcl,BMW,2021,X3,SUV,,
2956,Yc9G5wT1oJ,Ferrari,2015,458 Italia,Coupe,,
2958,HvEee39KZz,Ferrari,2015,458 Speciale,Coupe,,
2959,OYkGMJb0OG,Ferrari,2015,458 Spider,Convertible,,
2964,atDRGTwg25,Ferrari,2016,FF,Coupe,,
2967,qjEGmDC9Sn,Ferrari,2017,F12berlinetta,Coupe,,
2968,90ckH5XUlB,Ferrari,2017,California,Convertible,,
2971,Av4qV2MDZI,Ferrari,2018,GTC4Lusso,Hatchback,,
2972,b666pls3W2,Ferrari,2018,488 GTB,Coupe,,
2973,Fjn4JM5vjG,Ferrari,2018,812 Superfast,Coupe,,
2974,y5egbhDKTu,Ferrari,2018,Portofino,Convertible,,
2975,UFV0L1GlaY,Ferrari,2018,488 Spider,Convertible,,
5789,MLZdOGrBjJ,Lamborghini,2018,Huracan,Coupe,,
5790,9UgnNJzaIc,Lamborghini,2018,Aventador,Convertible, Coupe,
5865,Q4MqCy1qR4,Land Rover,2015,LR2,SUV,,
5872,YRlyJDnTqj,Land Rover,2016,LR4,SUV,,
5891,l0ZxQJr6dc,Land Rover,2020,Discovery Sport,SUV,,
5892,YdnaZQmFIB,Land Rover,2020,Range Rover Evoque,SUV,,
5897,H3vSMGGkEg,Land Rover,2021,Discovery,SUV,,
5898,UJHi7tnkLX,Land Rover,2021,Range Rover,SUV,,
5899,InFhB39vkY,Land Rover,2021,Range Rover Sport,SUV,,
5900,WfshsWRtre,Land Rover,2021,Range Rover Velar,SUV,,
6300,BvVePY8v2w,Lotus,2018,Evora 400,Coupe,,
6333,PItC6QhNna,Maserati,2018,Quattroporte,Sedan,,
6335,6wiCpEUxVn,Maserati,2018,GranTurismo,Coupe, Convertible,
6337,FMCCyUTicL,Maserati,2019,Levante,SUV,,
6338,IdkeSusVpn,Maserati,2019,Ghibli,Sedan,,
6602,N15uXLYBhF,McLaren,2016,650S,Convertible, Coupe,
6603,FPkOAQ702I,McLaren,2016,675LT,Coupe,,
6607,yUM5JvdmkF,McLaren,2018,570GT,Coupe,,
6608,Ty4kcJAYGW,McLaren,2018,720S,Coupe,,
6609,9Yg5Cg3B1V,McLaren,2018,570S,Coupe, Convertible,
6859,32kNxLGXEH,Mercedes-Benz,2015,M-Class,SUV,,
6860,TDhjXgYOnZ,Mercedes-Benz,2015,CLA-Class,Sedan,,
6864,dhp9RvKFxD,Mercedes-Benz,2015,GLK-Class,SUV,,
6865,bwvh3oBeAn,Mercedes-Benz,2015,GLA-Class,SUV,,
6867,sR5Go0O2Wn,Mercedes-Benz,2015,SLS-Class,Coupe, Convertible,
6870,AYabTkCaKr,Mercedes-Benz,2015,SL-Class,Convertible,,
6872,hC17qb618x,Mercedes-Benz,2015,SLK-Class,Convertible,,
6876,NFcAjnJZyG,Mercedes-Benz,2016,CLS-Class,Sedan,,
6877,x5TBborTzF,Mercedes-Benz,2016,GL-Class,SUV,,
6886,V6ImGAZf83,Mercedes-Benz,2016,GLE Coupe,SUV,,
6891,Jh3c5SShWO,Mercedes-Benz,2016,Mercedes-Maybach S 600,Sedan,,
6892,UnXpq4ADr2,Mercedes-Benz,2016,SLK,Convertible,,
6897,zl44lTiOAR,Mercedes-Benz,2016,Mercedes-AMG SLK,Convertible,,
6910,amHsdmnkH2,Mercedes-Benz,2017,B-Class,Hatchback,,
6942,czRHHmtBZ9,Mercedes-Benz,2017,Sprinter WORKER Passenger,Van/Minivan,,
6961,BAnHbFWtEc,Mercedes-Benz,2018,Sprinter 2500 Crew,Van/Minivan,,
6971,yERgIqO11b,Mercedes-Benz,2018,Metris WORKER Cargo,Van/Minivan,,
6974,0dAtYD141Z,Mercedes-Benz,2018,Metris WORKER Passenger,Van/Minivan,,
6977,LemocimRul,Mercedes-Benz,2018,Sprinter 3500 XD Cargo,Van/Minivan,,
6978,8f2Vud5ZCH,Mercedes-Benz,2018,Sprinter 2500 Passenger,Van/Minivan,,
6979,SAJirMn0s0,Mercedes-Benz,2018,Sprinter WORKER Cargo,Van/Minivan,,
6980,6BFENxUe8g,Mercedes-Benz,2018,Sprinter 3500 Cargo,Van/Minivan,,
6986,eWJOe8z7sY,Mercedes-Benz,2019,Mercedes-AMG C-Class,Sedan, Convertible, Coupe
6991,2ZHDQAYQdi,Mercedes-Benz,2019,CLS,Sedan,,
6992,FUDdfcEzKV,Mercedes-Benz,2019,Mercedes-AMG CLA,Sedan,,
6993,CHI8VGWfsD,Mercedes-Benz,2019,GLC Coupe,SUV,,
6994,rdVV9ZLVAN,Mercedes-Benz,2019,Mercedes-AMG CLS,Sedan,,
6996,4QggYHUIyn,Mercedes-Benz,2019,Mercedes-AMG E-Class,Coupe, Convertible, Sedan
6997,9D4m3OYEUX,Mercedes-Benz,2019,Mercedes-AMG GLE,SUV,,
6999,XhQUUcbvQU,Mercedes-Benz,2019,Mercedes-AMG GLA,SUV,,
7000,kvC18WGUse,Mercedes-Benz,2019,Mercedes-AMG S-Class,Sedan, Coupe, Convertible
7001,P3G4igD2ZY,Mercedes-Benz,2019,SL,Convertible,,
7002,p1dozBG19L,Mercedes-Benz,2019,Mercedes-AMG GT,Coupe, Sedan, Convertible
7003,iXFjpcpeaE,Mercedes-Benz,2019,Metris Passenger,Van/Minivan,,
7004,TVEeAZYP5Y,Mercedes-Benz,2019,Mercedes-AMG GLE Coupe,SUV,,
7005,D7fGCgE4nI,Mercedes-Benz,2019,Mercedes-Maybach S-Class,Sedan,,
7006,pd9ucOltfT,Mercedes-Benz,2019,Mercedes-AMG GLC Coupe,SUV,,
7007,WMlA28JnT7,Mercedes-Benz,2019,Sprinter 2500 Cargo,Van/Minivan,,
7008,fETuv1YiL2,Mercedes-Benz,2019,S-Class,Coupe, Sedan, Convertible
7009,xdna1kUoOH,Mercedes-Benz,2019,Metris Cargo,Van/Minivan,,
7010,Z2WS2PBACl,Mercedes-Benz,2019,SLC,Convertible,,
7011,avkiQ2tyxd,Mercedes-Benz,2019,Mercedes-AMG SLC,Convertible,,
7012,B36p3LxUmk,Mercedes-Benz,2019,Mercedes-AMG GLC,SUV,,
7013,c3tuoyWXUa,Mercedes-Benz,2019,Mercedes-AMG SL,Convertible,,
7014,flu3j3f93s,Mercedes-Benz,2019,Mercedes-AMG GLS,SUV,,
7015,qEzHd8PYEr,Mercedes-Benz,2020,GLS,SUV,,
7016,3vSeFSb1xL,Mercedes-Benz,2020,CLA,Sedan,,
7020,ITW67EHFIc,Mercedes-Benz,2020,E-Class,Coupe, Wagon, Sedan
7023,iWSijNdDWt,Mercedes-Benz,2021,Mercedes-AMG G-Class,SUV,,
7024,5nzGTcJACh,Mercedes-Benz,2021,G-Class,SUV,,
7025,ju1ASzqZA4,Mercedes-Benz,2021,GLC,SUV,,
7026,ceXJsgVCf9,Mercedes-Benz,2021,A-Class,Sedan,,
7027,vtyjSJd4fv,Mercedes-Benz,2021,GLE,SUV,,
7028,mrmjo2HpwE,Mercedes-Benz,2021,GLA,SUV,,
7030,avJE8ATvhS,Mercedes-Benz,2021,GLB,SUV,,
7031,RlaAEl5rGq,Mercedes-Benz,2022,C-Class,Coupe,,
8214,SGvedeFMBU,Porsche,2016,Cayman,Coupe,,
8215,EyIxl3I9JF,Porsche,2016,Boxster,Convertible,,
8243,nfGJu6tXoS,Porsche,2021,718 Spyder,Convertible,,
8244,iZKSAzy3H9,Porsche,2021,718 Boxster,Convertible,,
8245,rl2DZHmRAM,Porsche,2021,Macan,SUV,,
8246,MSP3B8yTDj,Porsche,2021,718 Cayman,Coupe,,
8247,8YeAdxTisN,Porsche,2021,911,Coupe,Convertible,
8248,u3q3xxZDF0,Porsche,2021,Taycan,Sedan,,
8249,Q7R4Y34MD4,Porsche,2021,Cayenne,SUV,,
8250,1kTx6Spb1u,Porsche,2021,Panamera,Sedan,,
8251,qGI8jfFZNm,Porsche,2021,Cayenne Coupe,SUV,,
8396,JSke1kFGq7,Rolls-Royce,2018,Ghost,Sedan,,
8397,YM4VOD2rla,Rolls-Royce,2018,Wraith,Coupe,,
8398,w4N7rvc53U,Rolls-Royce,2018,Dawn,Convertible,,
8399,AtKIXrQ9mA,Rolls-Royce,2018,Phantom,Sedan,,
8825,ZVPgK8THg2,Tesla,2019,Model 3,Sedan,,
8827,Ns0hxDFkhD,Tesla,2021,Model S,Sedan,,
8828,M5Zx5PlEMy,Tesla,2021,Model X,SUV,,
